cycle number,Capacity/mA.h
0,37.20271307
1,36.22303299
2,35.58930075
3,35.10808143
4,34.76728022
5,34.5191439
6,34.31968902
7,34.17658494
8,34.04663311
9,34.1875305
10,34.07004893
11,33.97043682
12,33.77003898
13,33.70502981
14,33.71013578
15,33.74974794
16,33.67808405
17,33.54328286
18,33.57989324
19,33.41691785
20,33.54878697
21,33.48888425
22,33.46613782
23,33.30558393
24,33.28812477
25,33.26649678
26,33.38786123
27,33.38368337
28,33.28306434
29,33.09499665
30,33.05934481
31,33.00589384
32,32.97729926
33,32.9355105
34,32.89801374
35,32.86386625
36,32.81978651
37,32.77468513
38,32.79736148
39,32.75671715
40,32.69147203
41,32.68126906
42,32.66244597
43,32.82704887
44,32.82063608
45,32.79372694
46,32.57228424
47,32.50680086
48,32.48594688
49,32.62446184
50,32.59866528
51,32.49096938
52,32.36156568
53,32.37904718
54,32.41866831
55,32.45002926
56,32.40338638
57,32.22724291
58,32.19196003
59,32.14438223
60,32.30144624
61,32.26452231
62,32.24551267
63,32.05441743
64,32.00995612
65,32.0048375
66,32.09425651
67,32.0852744
68,32.07209061
69,31.86251295
70,31.83152439
71,31.7924629
72,31.81887439
73,31.75774632
74,31.71533783
75,31.67409285
76,31.63686823
77,31.60066823
78,31.61795839
79,31.59750266
80,31.51869405
81,31.49502326
82,31.4306227
83,31.58672449
84,31.5574118
85,31.5270772
86,31.33171625
87,31.27286599
88,31.28581216
89,31.39976645
90,31.36124913
91,31.28095767
92,31.09326368
93,31.00121573
94,31.00759647
95,31.11821952
96,31.14518953
97,31.11904646
98,30.86233274
99,30.82642149
100,30.71305326
101,30.80376515
102,30.85673232
103,30.78593836
104,30.50536062
105,30.47258452
106,30.34654506
107,30.50999431
108,30.49050816
109,30.39563201
110,30.19903753
111,30.2126296
112,30.10972406
113,30.07404703
114,29.9598161
115,29.83495524
116,29.85542577
117,29.72024329
118,29.60306626
119,29.5982312
120,29.49157477
121,29.43611792
122,29.26906648
123,29.15115969
124,29.0801078
125,29.22587649
126,29.21081984
127,29.13520402
128,28.89590343
129,28.75198312
130,28.74296107
131,28.78605504
132,28.82256263
133,28.63812534
134,28.4162424
135,28.24440181
136,28.20996451
137,28.31554263
138,28.41683417
139,28.21726026
140,27.89985864
141,27.69998499
142,27.82581704
143,27.89720637
144,27.91051548
145,27.84268086
146,27.46270752
147,27.43227475
148,27.35126822
149,27.55920127
150,27.61068519
151,27.59251441
152,27.09532686
153,27.22588998
154,27.10728983
155,26.99297851
156,27.52707394
157,27.17516661
158,26.84469213
159,26.86717897
160,26.79925057
161,26.74039917
162,26.75406696
163,26.68851186
164,26.5639322
165,26.46312619
166,26.22057535
167,26.44036426
168,26.16872868
169,26.23724988
170,26.05508555
171,25.72758021
172,25.63925608
173,25.54456672
174,25.71046975
175,25.62527769
176,25.54470802
177,25.22396489
178,25.13618802
179,25.01645757
180,25.14022988
181,25.14128817
182,25.01977192
183,24.68763637
184,24.58034607
185,24.43739089
186,24.47441796
187,24.60284719
188,24.44617936
189,24.13170566
190,24.00633882
191,23.87775887
192,23.75883656
193,23.85813854
194,23.94127379
195,23.70942094
196,23.36920866
197,23.16276982
198,22.97566076
199,22.63580666
200,22.6265445
